time,seconds_elapsed,z,y,x
1778841470319989800,0.07598974609375,-0.05807341878414154,-0.024990064349770545,0.0005619213279889663
1778841470329970700,0.085970703125,-0.012512860092520712,0.020679215413331984,-0.0031233447684790006
1778841470339950600,0.09595068359375,0.002563128486275673,0.09571487491428851,-0.0052796540110430215
1778841470349931800,0.105931884765625,0.044804187366366384,0.1116927807688713,-0.06884256331475917
1778841470359911700,0.11591162109375,0.11844693120419979,0.06853051539063454,-0.12907178559303284
1778841470369892600,0.125892578125,0.16214520315527914,0.039455812075734134,-0.16895249028364195
1778841470379873800,0.135873779296875,0.23346622604727743,0.006003039807081222,-0.15476344060720876
1778841470389853700,0.145853759765625,0.2167792951405048,-0.0070353054642677305,-0.14524368878290989
1778841470399834600,0.155834716796875,0.14575404032468794,0.02481646134853363,-0.12036956982985138
1778841470409814500,0.165814453125,0.05710252792537212,0.06898819603025913,-0.07700380863561294
1778841470419795700,0.175795654296875,0.015351298388838768,0.1011398225724697,-0.027610384649690237
1778841470429776600,0.185776611328125,0.03628887247741222,0.10977437992691993,-0.018731123827659756
1778841470439756500,0.195756591796875,0.06829086141586303,0.038569092369079586,-0.0645028581765946
1778841470449737700,0.20573779296875,0.05827040266096591,-0.024230185893177984,-0.0813409975897055
1778841470459717600,0.215717529296875,0.05214402873516082,-0.026014731222391126,-0.07390348626640625
1778841470469698600,0.225698486328125,-0.010793781214952468,-0.022594693645834923,-0.053516659662080926
1778841470479678700,0.2356787109375,-0.1002770682632923,-0.032660745108127595,0.006882603687164373
1778841470489660000,0.245659912109375,-0.1564262409865856,-0.004859130468964576,0.09174124030927196
1778841470499640600,0.255640625,-0.16342472157180307,0.011691606837511062,0.1857792680525221
1778841470509620700,0.265620849609375,-0.22235621849000453,0.022556699723005294,0.23387361953807995
1778841470519601700,0.2756015625,-0.1944341923415661,-0.003188566908240318,0.22652807908086106
1778841470529581800,0.285581787109375,-0.24061142162680624,0.0006306991189718247,0.21334720179997382
1778841470539562800,0.295562744140625,-0.397962376242876,0.05301788896024227,0.20170509665999561
1778841470549543700,0.305543701171875,-0.583267505711317,0.07784428718090057,0.21160649561248718
1778841470559523600,0.315523681640625,-0.787776517343521,0.06680033059716224,0.23149014020133762
1778841470569504800,0.3255048828125,-0.8779004403829574,0.06351064140200614,0.241551588553749
1778841470579484700,0.335484619140625,-0.9257447260975837,0.007329319974780082,0.2602846748679876
1778841470589465600,0.345465576171875,-0.9056476944863796,0.05140285497903824,0.3908582798587158
1778841470599445500,0.355445556640625,-1.030404539489746,0.15310791021883488,0.5690484262228012
1778841470609426700,0.3654267578125,-1.3050222756147385,0.21045944446921347,0.6614208588413893
1778841470619407600,0.37540771484375,-1.608513639524579,0.2672650352746248,0.8223292136780918
1778841470629387500,0.385387451171875,-1.9888509272277355,0.27087095081210133,1.010836354058236
1778841470639368700,0.39536865234375,-2.261360292896628,0.10912789871692657,1.0608537460282443
1778841470649348600,0.4053486328125,-2.039434282517433,-0.1699123300254345,0.817237808823213
1778841470659329500,0.41532958984375,-1.1344751548171044,-0.485170119574666,0.28257030256465077
1778841470669310500,0.425310546875,0.40102527094483376,-0.8649906899273395,-0.5385960048139095
1778841470679291000,0.435290771484375,1.6990040577888488,-0.9135252959936857,-1.0886668319094925
