time,seconds_elapsed,z,y,x
1778841470319989800,0.07598974609375,-0.001670871046371758,-0.0009840605780482292,0.027564387768507004
1778841470329970700,0.085970703125,0.007286937441676855,-0.010838555172085762,0.03657253086566925
1778841470339950600,0.09595068359375,0.010188451036810875,-0.018971050158143044,0.039174437522888184
1778841470349931800,0.105931884765625,0.01041366159915924,-0.023312751203775406,0.036736562848091125
1778841470359911700,0.11591162109375,0.002097674645483494,-0.023303164169192314,0.02937159314751625
1778841470369892600,0.125892578125,-0.0038404548540711403,-0.016232039779424667,0.011287697590887547
1778841470379873800,0.135873779296875,-0.008214697241783142,-0.0074662454426288605,-0.009491882286965847
1778841470389853700,0.145853759765625,-0.01021550688892603,-0.0006448369240388274,-0.03009781986474991
1778841470399834600,0.155834716796875,-0.009287129156291485,0.003611160907894373,-0.03912460431456566
1778841470409814500,0.165814453125,-0.0045561823062598705,-0.004399337340146303,-0.0390506237745285
1778841470419795700,0.175795654296875,0.0004423046193551272,-0.01657664217054844,-0.03640557453036308
1778841470429776600,0.185776611328125,0.005887203849852085,-0.027842318639159203,-0.04556840658187866
1778841470439756500,0.195756591796875,0.0027799205854535103,-0.02566789835691452,-0.052161842584609985
1778841470449737700,0.20573779296875,0.0010320879518985748,-0.012575531378388405,-0.05713103711605072
1778841470459717600,0.215717529296875,0.002620397135615349,0.0019421577453613281,-0.05677204206585884
1778841470469698600,0.225698486328125,0.002031726064160466,0.017378903925418854,-0.05376351252198219
1778841470479678700,0.2356787109375,0.005461078602820635,0.023807242512702942,-0.046867791563272476
1778841470489660000,0.245659912109375,0.014833995141088963,-0.0024987650103867054,-0.030950307846069336
1778841470499640600,0.255640625,0.031020687893033028,-0.04341663792729378,-0.017590029165148735
1778841470509620700,0.265620849609375,0.049251243472099304,-0.07173716276884079,-0.007621839642524719
1778841470519601700,0.2756015625,0.05808547884225845,-0.11717414855957031,0.0044689117930829525
1778841470529581800,0.285581787109375,0.07023489475250244,-0.15768791735172272,0.03049248829483986
1778841470539562800,0.295562744140625,0.08870205283164978,-0.18373416364192963,0.07593107223510742
1778841470549543700,0.305543701171875,0.10658493638038635,-0.20170705020427704,0.13752174377441406
1778841470559523600,0.315523681640625,0.13098376989364624,-0.22585339844226837,0.21546980738639832
1778841470569504800,0.3255048828125,0.1496906280517578,-0.26587268710136414,0.2971346080303192
1778841470579484700,0.335484619140625,0.17271579802036285,-0.3218528628349304,0.37298837304115295
1778841470589465600,0.345465576171875,0.20542319118976593,-0.41527119278907776,0.4395225942134857
1778841470599445500,0.355445556640625,0.2503558099269867,-0.5411513447761536,0.5071324706077576
1778841470609426700,0.3654267578125,0.27994173765182495,-0.7310402989387512,0.5846470594406128
1778841470619407600,0.37540771484375,0.3051948845386505,-0.9641172289848328,0.6921039819717407
1778841470629387500,0.385387451171875,0.34454545378685,-1.1784909963607788,0.8366388082504272
1778841470639368700,0.39536865234375,0.3926418721675873,-1.3365730047225952,1.0043424367904663
1778841470649348600,0.4053486328125,0.4145343005657196,-1.431042194366455,1.131928563117981
1778841470659329500,0.41532958984375,0.37082332372665405,-1.4858980178833008,1.134467363357544
