timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
1778841470319989800,0.0005619213279889,-0.0249900643497705,-0.0580734187841415,0.027564387768507,-0.0009840605780482,-0.0016708710463717,sitzen
1778841470329970700,-0.003123344768479,0.0206792154133319,-0.0125128600925207,0.0365725308656692,-0.0108385551720857,0.0072869374416768,sitzen
1778841470339950600,-0.005279654011043,0.0957148749142885,0.0025631284862756,0.0391744375228881,-0.018971050158143,0.0101884510368108,sitzen
1778841470349931800,-0.0688425633147591,0.1116927807688713,0.0448041873663663,0.0367365628480911,-0.0233127512037754,0.0104136615991592,sitzen
1778841470359911700,-0.1290717855930328,0.0685305153906345,0.1184469312041997,0.0293715931475162,-0.0233031641691923,0.0020976746454834,sitzen
1778841470369892600,-0.1689524902836419,0.0394558120757341,0.1621452031552791,0.0112876975908875,-0.0162320397794246,-0.0038404548540711,sitzen
1778841470379873800,-0.1547634406072087,0.0060030398070812,0.2334662260472774,-0.0094918822869658,-0.0074662454426288,-0.0082146972417831,sitzen
1778841470389853700,-0.1452436887829098,-0.0070353054642677,0.2167792951405048,-0.0300978198647499,-0.0006448369240388,-0.010215506888926,sitzen
1778841470399834600,-0.1203695698298513,0.0248164613485336,0.1457540403246879,-0.0391246043145656,0.0036111609078943,-0.0092871291562914,sitzen
1778841470409814500,-0.0770038086356129,0.0689881960302591,0.0571025279253721,-0.0390506237745285,-0.0043993373401463,-0.0045561823062598,sitzen
1778841470419795700,-0.0276103846496902,0.1011398225724697,0.0153512983888387,-0.036405574530363,-0.0165766421705484,0.0004423046193551,sitzen
1778841470429776600,-0.0187311238276597,0.1097743799269199,0.0362888724774122,-0.0455684065818786,-0.0278423186391592,0.005887203849852,sitzen
1778841470439756500,-0.0645028581765946,0.0385690923690795,0.068290861415863,-0.0521618425846099,-0.0256678983569145,0.0027799205854535,sitzen
1778841470449737700,-0.0813409975897055,-0.0242301858931779,0.0582704026609659,-0.0571310371160507,-0.0125755313783884,0.0010320879518985,sitzen
1778841470459717600,-0.0739034862664062,-0.0260147312223911,0.0521440287351608,-0.0567720420658588,0.0019421577453613,0.0026203971356153,sitzen
1778841470469698600,-0.0535166596620809,-0.0225946936458349,-0.0107937812149524,-0.0537635125219821,0.0173789039254188,0.0020317260641604,sitzen
1778841470479678700,0.0068826036871643,-0.0326607451081275,-0.1002770682632923,-0.0468677915632724,0.0238072425127029,0.0054610786028206,sitzen
1778841470489660000,0.0917412403092719,-0.0048591304689645,-0.1564262409865856,-0.0309503078460693,-0.0024987650103867,0.0148339951410889,sitzen
1778841470499640600,0.1857792680525221,0.011691606837511,-0.163424721571803,-0.0175900291651487,-0.0434166379272937,0.031020687893033,sitzen
1778841470509620700,0.2338736195380799,0.0225566997230052,-0.2223562184900045,-0.0076218396425247,-0.0717371627688407,0.0492512434720993,sitzen
